Area,Room,Parking,Warehouse,Elevator,Address
63.0,1,1,1,1,Shahran
60.0,1,1,1,1,Shahran
79.0,2,1,1,1,Pardis
95.0,2,1,1,1,Shahrake Qods
123.0,2,1,1,1,Shahrake Gharb
70.0,2,1,1,0,North Program Organization
87.0,2,1,1,1,Pardis
59.0,1,1,1,1,Shahran
54.0,2,1,1,0,Andisheh
71.0,1,1,1,1,West Ferdows Boulevard
68.0,2,1,1,1,West Ferdows Boulevard
64.0,1,1,1,1,Narmak
54.0,1,0,1,1,Narmak
136.0,3,1,1,1,Saadat Abad
95.0,2,1,1,1,Zafar
63.0,1,0,1,0,Islamshahr
155.0,3,1,1,1,Narmak
64.0,2,0,1,0,Pirouzi
140.0,3,1,1,1,West Ferdows Boulevard
42.0,1,0,1,0,Pirouzi
93.0,2,1,1,1,Shahrake Gharb
87.0,2,1,1,1,Shahrake Shahid Bagheri
65.0,1,1,1,1,Shahran
99.0,2,1,1,1,Moniriyeh
105.0,2,1,1,1,Saadat Abad
160.0,3,1,1,1,Velenjak
77.0,2,1,1,1,Amirieh
123.0,2,1,1,1,Pirouzi
110.0,2,1,1,1,Southern Janatabad
100.0,2,1,1,1,West Ferdows Boulevard
90.0,2,0,1,0,Salsabil
49.0,1,1,1,1,West Ferdows Boulevard
96.0,2,1,1,1,Zargandeh
67.0,2,1,1,0,Feiz Garden
68.0,2,1,1,1,West Ferdows Boulevard
62.0,1,1,0,1,Water Organization
55.0,1,1,1,1,West Ferdows Boulevard
110.0,2,1,1,1,West Ferdows Boulevard
129.0,2,1,1,1,West Ferdows Boulevard
109.0,2,1,1,1,West Ferdows Boulevard
58.0,1,1,1,1,Saadat Abad
55.0,1,1,1,1,Saadat Abad
150.0,2,0,1,1,Shahrake Qods
60.0,2,1,1,1,
130.0,3,1,1,0,ShahrAra
88.0,2,1,1,1,Gisha
51.0,1,1,1,1,Gisha
113.0,3,1,1,0,Shahrake Gharb
110.0,2,1,1,1,Ray
60.0,1,1,1,1,Abbasabad
98.0,2,1,1,1,Pardis
62.0,2,0,0,1,Ostad Moein
150.0,3,1,1,1,Farmanieh
75.0,2,0,0,0,Parand
61.0,1,1,1,0,Punak
72.0,2,1,1,1,Shahran
100.0,2,1,1,1,Qasr-od-Dasht
122.0,3,1,1,1,Aqdasieh
215.0,3,1,1,1,Pakdasht
101.0,2,1,1,1,Railway
67.0,2,1,1,1,Punak
72.0,2,1,1,0,Punak
63.0,1,1,1,0,Punak
75.0,2,1,1,0,Punak
109.0,2,1,1,1,Shahran
122.0,2,1,1,1,Aqdasieh
70.0,1,1,1,1,Central Janatabad
60.0,1,1,1,1,West Ferdows Boulevard
53.0,1,1,1,0,East Ferdows Boulevard
90.0,1,0,1,0,Pakdasht KhatunAbad
72.0,2,1,1,1,Amirieh
74.0,2,1,1,1,Amirieh
88.0,3,0,0,1,Parand
63.0,1,1,1,1,Punak
114.0,3,1,1,1,Sattarkhan
